"Identificador de la publicación","Enlace permanente","Mensaje de la publicación",Tipo,Países,Idiomas,Publicado,"Segmentación del público","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
111412183925455_140166491050024,https://www.facebook.com/sjjersey/posts/140166491050024,"Recuerda que los protocolos de bioseguridad ayudan a disminuir el riesgo de contagio.

Nuestra tela es usada para elaborar mascarillas y trajes de bioseguridad cómodos y no contaminantes. ¡Tu salud es nuestra prioridad!

🏬 Quito: De los Cerezos Oe1-356 y Av. Real Audiencia
🏬 Atuntaqui: Calle General Enríquez 16-60 entre Atahualpa y Juan de Velasco
📞 1700 JERSEY (537739)

#CalidadQueTeProtege #HechoenEcuador #PrecioJusto",Video,,,"07/15/2020 06:58:59 AM"," ",1382,1382,0,1773,1773,0,64,41,58,0,0,696,455,0,0,40,43,46,0,0,326,382,0,0,4760,33784,15,25,,16,27,,32,,,13,45,,,13,,,,
111412183925455_139968904403116,https://www.facebook.com/sjjersey/posts/139968904403116,"Nuestro aliado Cotton USA confirma que su materia prima es cultivada de forma justa y sostenible.

Su sistema mide y supervisa las métricas clave para la sostenibilidad. 
#CalidadQueTeProtege #HechoEnEcuador #TelaEcológica",Photo,,,"07/14/2020 06:03:38 PM"," ",766,766,0,892,892,0,17,6,6,0,0,387,320,0,0,12,0,0,0,0,0,0,0,0,0,0,5,9,,6,10,,3,3,,,3,3,,,,,,
111412183925455_139840497749290,https://www.facebook.com/sjjersey/posts/139840497749290,"“Debemos concientizar la importancia del uso de las mascarillas para bloquear la emisión de gotas infectadas” 

Usa mascarillas confeccionadas con tejidos de punto  Antifluido Sj Jersey respirable, lavable.
#SjJersey#CalidadQueTeProtege
#HechoEnEcuador",Video,,,"07/14/2020 10:40:09 AM"," ",1345,1345,0,1705,1705,0,51,32,36,0,0,705,506,0,0,35,46,46,0,0,361,415,0,0,12647,142080,14,17,,15,20,,27,,,6,29,,,7,,,,
111412183925455_139497311116942,https://www.facebook.com/sjjersey/posts/139497311116942,"Cotton USA el mejor algodón para nuestras telas. #SjJersey, tela 100% ecuatoriana con calidad internacional. 

#CalidadQueTeProtege #HechoEnEcuador #TelaEcológica",Photo,,,"07/13/2020 01:23:30 PM"," ",819,819,0,987,987,0,17,5,5,0,0,423,330,0,0,9,0,0,0,0,0,0,0,0,0,0,4,11,,4,14,,1,4,,,1,4,,,,,,
111412183925455_139395627793777,https://www.facebook.com/sjjersey/posts/139395627793777,"La OMS y la CDC han hecho explícito que el uso de mascarillas quirúrgicas (esto es, médicas) debe reservarse para el uso exclusivo del personal de salud o de pacientes
que presenten síntomas respiratorios.

Usa mascarillas de tejido de punto antifluido #SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Video,,,"07/13/2020 07:32:16 AM"," ",1855,1855,0,2898,2898,0,52,36,51,0,0,1066,567,0,0,37,27,28,0,0,276,320,0,0,5933,61694,15,19,,20,20,,31,,,10,39,,,12,,,,
111412183925455_138353154564691,https://www.facebook.com/sjjersey/posts/138353154564691,"Escucha en vivo a nuestro Gerente hablar sobre el día después del covid.

#SjJersey #HechoenEcuador #CalidadQueTeProtege gracias a EnergiaFm Ecuador",Link,,,"07/10/2020 03:12:47 PM"," ",665,665,0,798,798,0,25,11,13,0,0,497,391,0,0,23,0,0,0,0,0,0,0,0,0,0,1,14,5,1,16,7,9,,2,,11,,2,,,,,
111412183925455_138253991241274,https://www.facebook.com/sjjersey/posts/138253991241274,"Gracias al programa Primera Hora por la entrevista en Majestad Radio

Enlace de entrevista:  https://www.facebook.com/majestadradioec/videos/644049806211288/?t=4728",SharedVideo,,,"07/10/2020 08:54:08 AM"," ",527,527,0,610,610,0,16,9,10,0,0,334,269,0,0,14,0,0,0,0,65,69,0,0,0,8927701,,8,,,8,,9,,,,10,,,,,,,
111412183925455_138218994578107,https://www.facebook.com/sjjersey/posts/138218994578107,"EN VIVO - Entrevista a nuestro Gerente General, Dr. Gilberto Valderrábano #CalidadQueTeProtege",SharedVideo,,,"07/10/2020 07:28:10 AM"," ",550,550,0,652,652,0,24,18,28,0,0,369,298,0,0,21,0,0,0,0,83,85,0,0,0,857386,,7,,,7,,18,,,,28,,,,,,,
111412183925455_137527151313958,https://www.facebook.com/sjjersey/posts/137527151313958,"A través de una investigación intensa y de una tecnología superior, COTTON USA ha desarrollado una fibra de algodón que ahora es más blanca, más fina, más resistente y más limpia. 

#CalidadQueTeProtege #HechoEnEcuador #TelaEcológica 

#SjJersey tela de calidad",Photo,,,"07/08/2020 11:56:16 AM"," ",1039,1039,0,1312,1312,0,37,13,14,0,0,544,397,0,0,27,0,0,0,0,0,0,0,0,0,0,11,21,,11,23,,3,11,,,3,11,,,,,,
111412183925455_137443941322279,https://www.facebook.com/sjjersey/posts/137443941322279,"Pronto vamos a tener más mascarillas que medusas en los mares y si no usamos mascarillas reutilizables, de tejido de punto antifluido #SjJersey, nuestro planeta tierra seguirá contaminándose.

Te invitamos a leer el artículo: https://bit.ly/38pGl5n 
 #SjJersey #PostCOVID #CalidadQueTeProtege",Photo,,,"07/08/2020 06:55:42 AM"," ",926,926,0,1151,1151,0,25,12,13,0,0,493,375,0,0,18,0,0,0,0,0,0,0,0,0,0,4,16,,6,17,,5,8,,,5,8,,,,,,
111412183925455_137221751344498,https://www.facebook.com/sjjersey/posts/137221751344498,"Te invitamos a seguir la entrevista de nuestro Gerente General, Dr. Gilberto Valderrábano desde Fábrica Medios
Hora de le entrevista: 09H30
¡Te esperamos!

Apoyemos la Industria Ecuatoriana! #HechoenEcuador #PrecioJusto #CalidadQueTeProtege",Photo,,,"07/07/2020 02:59:02 PM"," ",1326,1326,0,1680,1680,0,51,32,38,0,0,698,551,0,0,33,0,0,0,0,0,0,0,0,0,0,11,20,2,13,22,2,13,22,,,14,24,,,,,,
111412183925455_137110034689003,https://www.facebook.com/sjjersey/posts/137110034689003,"¡Pensemos en el día después del COVID cuidemos el planeta 🌍 !

Varias organizaciones advierten de un exceso de mascarillas y guantes desechables acumulados en las costas y el lecho marino debido a la pandemia. Te invitamos a leer el artículo: https://bit.ly/38pGl5n

👨‍👩‍👦‍👦 Usa mascarillas de tejido de punto antifluido #SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"07/07/2020 08:10:18 AM"," ",685,685,0,846,846,0,12,6,7,0,0,406,313,0,0,8,0,0,0,0,0,0,0,0,0,0,1,7,,1,7,,5,2,,,5,2,,,,,,
111412183925455_136686988064641,https://www.facebook.com/sjjersey/posts/136686988064641,"El plástico en los océanos, una amenaza en aumento.
Desde que la sociedad comenzó a usar mascarillas, las consecuencias son visibles en las playas, la ONG recomienda a la gente use mascarillas reutilizables y se lave las manos constantemente.

Usa mascarillas de tejido de punto antifluido 😷 Te invitamos a leer el artículo: https://bit.ly/38pGl5n

Pensemos en el día después del COVID. #SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"07/06/2020 06:15:10 AM"," ",785,785,0,995,995,0,22,7,7,0,0,487,365,0,0,16,0,0,0,0,0,0,0,0,0,0,5,14,,5,16,,5,2,,,5,2,,,,,,
111412183925455_135595731507100,https://www.facebook.com/sjjersey/posts/135595731507100,"El plástico en los océanos, una amenaza en aumento.
Desde que la sociedad comenzó a usar mascarillas, las consecuencias son visibles en las playas, la ONG recomienda a la gente use mascarillas reutilizables y se lave las manos constantemente.

Usa mascarillas de tejido de punto antifluido 😷 Te invitamos a leer el artículo: https://bit.ly/38pGl5n
Pensemos en el día después del COVID. #SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"07/03/2020 10:10:11 AM"," ",1166,1166,0,1462,1462,0,34,18,22,0,0,545,404,0,0,23,0,0,0,0,0,0,0,0,0,0,8,17,3,11,22,3,13,6,1,,15,6,1,,,,,
111412183925455_135237068209633,https://www.facebook.com/sjjersey/posts/135237068209633,"Descubren miles de mascarillas convertidas en residuos en islas deshabitadas.

Es mejor cuidar el planeta y a nosotros, usando mascarillas elaboradas con tejido de punto antifluido #SjJersey 😷

🌏 Lee este interesante artículo: https://bit.ly/38jlZdU

#CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"07/02/2020 01:34:49 PM"," ",1273,1273,0,1629,1629,0,40,21,25,0,0,553,391,0,0,24,0,0,0,0,0,0,0,0,0,0,15,16,,15,17,,14,9,1,,15,9,1,,,,,
111412183925455_135060981560575,https://www.facebook.com/sjjersey/posts/135060981560575,"¡Si amas el planeta NO uses mascarillas que contaminen! 🏞 Te recomendamos las de tejido de punto antifluido #SjJersey

Varias 😷 mascarillas desechables se suman a otros residuos que llegan a los océanos.

🌏 Lee este interesante artículo: https://bit.ly/38jlZdU
#CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"07/02/2020 06:45:53 AM"," ",1695,1695,0,2122,2122,0,60,33,39,0,0,648,497,0,0,28,0,0,0,0,0,0,0,0,0,0,20,25,,21,29,,19,15,,,24,15,,,,,,
